//id,name,cutin,???
235,マオ＝シャオピン,12,1.24
236,ベン,4,0.34
237,暗田,48,0.79
238,バーモント神父,38,0.85
239,リーグ,63,0
240,リーグ,63,0
241,暗田,48,0.79
242,火蓮,40,0.57
243,サム,51,0.34
244,サム,51,0.34
245,メイ,6,0.83
246,ジョニー,5,1.64
247,ジョニー,5,1.64
248,リンティ,64,0
249,休暇ヘリアン,60,0.13
250,休暇ヘリアン,60,0.13
251,木レバー,65,0
252,リエズ,10,1.5
253,アリーナ,33,0.95
254,ドロシー,2,0
255,ページ,1,0
7001,購買おばちゃん,3,0
7002,購買おばちゃん,3,0
9000,購買おばちゃん,3,0
9001,購買おばちゃん,3,0
9002,購買おばちゃん,3,0
9003,購買おばちゃん,3,0
9004,購買おばちゃん,3,0
9005,購買おばちゃん,3,0
9006,購買おばちゃん,3,0
9007,購買おばちゃん,3,0
9008,購買おばちゃん,3,0
9009,購買おばちゃん,3,0
9011,購買おばちゃん,3,0
9012,購買おばちゃん,3,0
8001,ページ,1,0
8002,ドロシー,2,0
8003,購買おばちゃん,3,0
8004,ベン,4,0.34
8005,ジョニー,5,1.64
8006,ページ,1,0
8007,ドロシー,2,0
8008,購買おばちゃん,3,0
8009,ベン,4,0.34
8010,ジョニー,5,1.64
8011,ページ,1,0
8012,ドロシー,2,0
8013,購買おばちゃん,3,0
8014,ベン,4,0.34
8015,ジョニー,5,1.64
8016,ページ,1,0
8017,ドロシー,2,0
8018,購買おばちゃん,3,0
8019,ベン,4,0.34
8020,ジョニー,5,1.64
256,シンソヒョン,43,0.99
257,ルーベン,45,0.75
258,ペコー,19,1.87
259,モカ,24,1.25
260,チャイナ,32,1.23
261,ヒョンラン,14,1.04
262,グレイ,22,0.84
263,ジョニー,5,1.64
264,購買おばちゃん,3,0
265,-2146826246,0,0
266,-2146826246,0,0
267,-2146826246,0,0
268,-2146826246,0,0
269,-2146826246,0,0
270,-2146826246,0,0
271,-2146826246,0,0
272,-2146826246,0,0
273,-2146826246,0,0
274,-2146826246,0,0
275,-2146826246,0,0
276,-2146826246,0,0
277,-2146826246,0,0
278,-2146826246,0,0
279,-2146826246,0,0
280,-2146826246,0,0
281,-2146826246,0,0
282,-2146826246,0,0
283,暗田,48,0.79
284,シンソヒョン,43,0.99
285,水蓮,39,0.3
286,妖艶,46,0.89
287,バーモント神父,38,0.85
288,購買おばちゃん,3,0
289,-2146826246,0,0
290,-2146826246,0,0
291,-2146826246,0,0
292,-2146826246,0,0
293,-2146826246,0,0
294,-2146826246,0,0
295,-2146826246,0,0
296,-2146826246,0,0
297,-2146826246,0,0
298,-2146826246,0,0
299,-2146826246,0,0
300,-2146826246,0,0
301,-2146826246,0,0
302,-2146826246,0,0
303,-2146826246,0,0
304,-2146826246,0,0
305,-2146826246,0,0
306,-2146826246,0,0
307,チャイナ,32,1.23
308,シンソヒョン,43,0.99
309,妖艶,46,0.89
310,シンソヒョン,43,0.99
311,-2146826246,0,0
312,休暇ヘリアン,60,0.13
313,-2146826246,0,0
314,-2146826246,0,0
315,-2146826246,0,0
316,木レバー,65,0
317,ヘリアンベビー,68,0
318,-2146826246,0,0
319,-2146826246,0,0
320,-2146826246,0,0
321,ホヤン,42,0.98
322,シンソヒョン,43,0.99
323,スーチョン,21,1
324,カルテ,34,1.02
325,インジェクト,73,0
326,ジョニー,5,1.64
327,マオ＝シャオピン,12,1.24
328,メイイェン,41,0.52
329,ムジナ守衛,44,4.28
330,妖艶,46,0.89
331,ビアンカ,7,1.44
332,ステファノ,31,0.67
333,エミリーちゃん,74,0
334,ホヤン,42,0.98
335,メイイェン,41,0.52
336,ビアンカ,7,1.44
337,チャート,79,1.1
338,カルテ,34,1.02
339,ワルグマー,36,0.53
340,ホヤン,42,0.98
341,ホヤン,42,0.98
342,メイイェン,41,0.52
343,メイイェン,41,0.52
344,メイイェン,41,0.52
345,メイイェン,41,0.52
346,火蓮,40,0.57
347,バーモント神父,38,0.85
348,火蓮,40,0.57
349,ハチ,76,0.66
350,妖艶,46,0.89
351,暗田,48,0.79
352,シンソヒョン,43,0.99
353,ルーベン,45,0.75
354,火蓮,40,0.57
355,ホヤン,42,0.98
356,シンソヒョン,43,0.99
357,ルーベン,45,0.75
358,ルーベン,45,0.75
359,ホヤン,42,0.98
360,ホヤン,42,0.98
361,ホヤン,42,0.98
362,メイイェン,41,0.52
363,暗田,48,0.79
364,バーモント神父,38,0.85
365,アンナ,78,0.97
366,ナナ,111,0.97
367,スターリン,13,0.75
368,メイイェン,41,0.52
369,メイイェン,41,0.52
370,ホヤン,42,0.98
371,ホヤン,42,0.98
372,ホヤン,42,0.98
373,ホヤン,42,0.98
374,パペットマスター,81,1.97
375,シンソヒョン,43,0.99
376,ページ,1,0
377,ステファノ,31,0.67
378,ワルグマー,36,0.53
379,リエズ,10,1.5
380,暗田,80,0.79
381,ワルグマー,36,0.53
382,ワルグマー,36,0.53
383,ワルグマー,36,0.53
384,ワルグマー,36,0.53
385,ワルグマー,36,0.53
386,ワルグマー,36,0.53
387,アンナ,78,0.97
388,ルーベン,45,0.75
389,ムジナ守衛,44,4.28
390,アンナ,78,0.97
391,ナナ,111,0.97
392,メイ,6,0.83
393,クリスティーン,61,0.4
394,ジョニー,5,1.64
395,スターリン,13,0.75
396,シンソヒョン,43,0.99
397,パペットマスター,81,1.97
398,パペットマスター,81,1.97
399,水蓮,39,0.3
400,ホヤン,42,0.98
401,スーチョン,21,1
402,ホヤン,42,0.98
403,百科事典,92,0
404,水蓮,39,0.3
405,汚い火蓮,40,0.57
406,ナインフォックス,57,0
407,シンソヒョン,43,0.99
408,ホギーパペット,88,0
409,メイイェン,41,0.52
410,ホヤン,85,0.98
411,パペットマスター,81,1.97
412,ホヤン,87,0
413,メイイェン,86,0
414,ホヤン,42,0.98
415,モカ,24,1.25
416,ブラッディ・ダッキー,69,1.19
417,モカ,24,1.25
418,サム,51,0.34
419,スーチョン,21,1
420,教官ステファノ,84,0
421,"メカドロシー 4号",90,1
422,モカ,24,1.25
423,スーチョン,21,1
424,リエズ,10,1.5
425,妖艶,46,0.89
426,ベン,4,0.34
427,サム,51,0.34
428,宵月男子生徒,93,0
429,宵月女生徒,94,0
430,ビアンカ,7,1.44
431,リンティ,64,0
432,レバー,35,0
433,購買おばちゃん,3,0
434,購買おばちゃん,3,0
435,ブラッディ・ダッキー,69,1.19
436,ハチ,76,0.66
437,シンソヒョン,43,0.99
438,宵月女生徒,93,0
439,宵月男子生徒,94,0
440,"生徒 A",49,0.84
441,ブラッディ・ダッキー,69,1.19
442,グレイ,22,0.84
443,マオ＝シャオピン,12,1.24
444,謎の少女,97,0
445,グレイ,22,0.84
446,マオ＝シャオピン,12,1.24
447,ハチ,76,0.66
448,四刀丸,9,0.73
449,ルーベン,45,0.75
450,ドワルグマー,37,0.53
451,ワルグマー,36,0.53
452,L.トーヴァルズ,102,0
453,ソムンヤン,11,0.7
454,スーチョン,21,1
455,モカ,24,1.25
456,"生徒 A",49,0.84
457,ルーベン,45,0.75
458,シンソヒョン,43,0.99
459,エスティバー生徒,99,0
460,水蓮,39,0.3
461,火蓮,40,0.57
462,守護仙女,98,0
463,バーモント神父,38,0.85
464,暗田,48,0.79
465,"生徒 A",49,0.84
466,シャオリーン,47,0
467,霊廟の女人,50,0
468,シンソヒョン,43,0.99
469,ルーベン,45,0.75
470,レバー,35,0
471,ベン,4,0.34
472,サム,51,0.34
473,グレイ,22,0.84
474,シンソヒョン,43,0.99
475,ルーベン,45,0.75
476,パペットマスター,81,1.97
477,購買おばちゃん,3,0
478,購買おばちゃん,3,0
479,購買おばちゃん,3,0
480,購買おばちゃん,3,0
481,購買おばちゃん,3,0
482,購買おばちゃん,3,0
483,シンソヒョン,43,0.99
484,"生徒 A",49,0.84
485,グレイ,22,0.84
486,絶対知識の書,96,0
487,絶対知識の書,96,0
488,ロージー,77,0
489,"生徒 A",49,0.84
490,"生徒 A",49,0.84
491,"生徒 A",49,0.84
492,"生徒 A",49,0.84
493,"生徒 A",49,0.84
494,"生徒 A",49,0.84
495,"生徒 A",49,0.84
496,"生徒 A",49,0.84
497,"生徒 A",49,0.84
498,"生徒 A",49,0.84
499,四刀丸,9,0.73
500,スーチョン,21,1
501,L.トーヴァルズ,102,0
502,L.トーヴァルズ,103,0
503,マオ＝シャオピン,12,1.24
504,謎の少女,97,0
505,グレイ,22,0.84
506,カピット,104,0
507,カピット,104,0
508,ブラッディ・ダッキー,69,0
509,黒衣の男,70,0
510,"生徒 A",49,0.84
511,シンソヒョン,43,0
512,シャオリーン,47,0
513,暗田,48,0
514,ルーベン,45,0
515,守護仙女,98,0
516,霊廟の女人,50,0
517,霊廟の女人,106,0
518,メガデス,56,0
519,メガデス,105,0
520,バーモント神父,38,0
521,リンティ,64,0
522,シンソヒョン,43,0.99
523,クリスティーン,61,0
524,グレイ,22,0
525,フレデリック,62,0
526,水蓮と火蓮,107,0
527,水蓮,39,0
528,火蓮,40,0
529,古代文明の少女,108,0
530,黒衣の男,70,0
531,グレイ,22,0
532,ウッドヘリアン,60,0
533,ウッドヘリアン,68,0
534,クリスティーン,61,0
535,ページ,1,0
536,ビアンカ,7,0
537,ステファノ,31,0
538,リエズ,10,0
539,ソムンヤン,11,0
540,スーチョン,21,0
541,L.トーヴァルズ,102,0
542,チャイナ,32,0
543,カピット,104,0
544,ルーベン,45,0
545,シンソヒョン,43,0
546,妖艶,46,0
547,暗田,48,0
548,グレイ,22,0
549,シンソヒョン,43,0
550,チャイナ,32,0
551,ルーベン,45,0
552,カピット,104,0
553,スーチョン,21,0
554,モカ,24,0
555,古代文明の少女,108,0
556,ペコー,19,0
557,ハチ,76,0
