1,PD000001,"プレゼント用Shop Point",友達にSPをプレゼントできます,友達へのお祝いに！,0,0,0
141,PD120320,エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装,"エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装セットを 3ヶ月間利用できます",3ヶ月間利用可能,2,1,20090
142,PD120320,エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装,"エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装セットを 6ヶ月間利用できます",6ヶ月間利用可能,2,1,20180
143,PD120320,エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装,"エスティバー学園　女生徒用　ＲＯＣＫ部ステージ衣装セットを 1年間利用できます",1年間利用可能,2,1,20365
144,PD210320,宵月学院　男子生徒用　フォークバンド部衣装,"宵月学院　男子生徒用　フォークバンド部衣装セットを 1日間利用できます",1日間利用可能,1,2,20001
145,PD210320,宵月学院　男子生徒用　フォークバンド部衣装,"宵月学院　男子生徒用　フォークバンド部衣装セットを 3日間利用できます",3日間利用可能,1,2,20003
146,PD210320,宵月学院　男子生徒用　フォークバンド部衣装,宵月学院　男子生徒用　フォークバンド部衣装セットを7日間利用できます,7日間利用可能,1,2,20007
147,PD210320,フォークバンド部衣装,宵月学院　男子生徒用　フォークバンド部衣装セットを30日間利用できます,30日間利用可能,1,2,20030
148,PD210320,宵月学院　男子生徒用　フォークバンド部衣装,"宵月学院　男子生徒用　フォークバンド部衣装セットを 3ヶ月間利用できます",3ヶ月間利用可能,1,2,20090
149,PD210320,宵月学院　男子生徒用　フォークバンド部衣装,"宵月学院　男子生徒用　フォークバンド部衣装セットを 6ヶ月間利用できます",6ヶ月間利用可能,1,2,20180
150,PD210320,宵月学院　男子生徒用　フォークバンド部衣装,"宵月学院　男子生徒用　フォークバンド部衣装セットを 1年間利用できます",1年間利用可能,1,2,20365
151,PD220320,宵月学院　女生徒用　フォークバンド部衣装,"宵月学院　女生徒用　フォークバンド部衣装セットを 1日間利用できます",1日間利用可能,2,2,20001
152,PD220320,宵月学院　女生徒用　フォークバンド部衣装,"宵月学院　女生徒用　フォークバンド部衣装セットを 3日間利用できます",3日間利用可能,2,2,20003
153,PD220320,宵月学院　女生徒用　フォークバンド部衣装,宵月学院　女生徒用　フォークバンド部衣装セットを7日間利用できます,7日間利用可能,2,2,20007
154,PD220320,フォークバンド部衣装,宵月学院　女生徒用　フォークバンド部衣装セットを30日間利用できます,30日間利用可能,2,2,20030
155,PD220320,宵月学院　女生徒用　フォークバンド部衣装,"宵月学院　女生徒用　フォークバンド部衣装セットを 3ヶ月間利用できます",3ヶ月間利用可能,2,2,20090
156,PD220320,宵月学院　女生徒用　フォークバンド部衣装,"宵月学院　女生徒用　フォークバンド部衣装セットを 6ヶ月間利用できます",6ヶ月間利用可能,2,2,20180
157,PD220320,宵月学院　女生徒用　フォークバンド部衣装,"宵月学院　女生徒用　フォークバンド部衣装セットを 1年間利用できます",1年間利用可能,2,2,20365
158,PD007000,"ＥＸＰアップ 1日",1日間、獲得経験値が増加します,一を聞いて十を知る！,0,0,20001
159,PD007000,"ＥＸＰアップ 3日",3日間、獲得経験値が増加します,一を聞いて十を知る！,0,0,20003
160,PD007000,"ＥＸＰアップ 7日",7日間、獲得経験値が増加します,一を聞いて十を知る！,0,0,20007
161,PD007000,"ＥＸＰアップ 30日",30日間、獲得経験値が増加します,一を聞いて十を知る！,0,0,20030
162,PD007000,"経験値増加 3ヶ月権",3ヶ月間、獲得経験値が増加します,一を聞いて十を知る！,0,0,20090
163,PD007000,"経験値増加 6ヶ月権",6ヶ月間、獲得経験値が増加します,一を聞いて十を知る！,0,0,20180
164,PD007000,"経験値増加 1年権",1年間、獲得経験値が増加します,一を聞いて十を知る！,0,0,20365
165,PD007100,"ダメージアップ 1日",1日間、攻撃ダメージが増加します,攻撃は最大の防御！,0,0,20001
166,PD007100,"ダメージアップ 3日",3日間、攻撃ダメージが増加します,攻撃は最大の防御！,0,0,20003
167,PD007100,"ダメージアップ 7日",7日間、攻撃ダメージが増加します,攻撃は最大の防御！,0,0,20007
168,PD007100,"ダメージアップ 30日",30日間、攻撃ダメージが増加します,攻撃は最大の防御！,0,0,20030
169,PD007100,"攻撃ダメージ増加 3ヶ月権",3ヶ月間、攻撃ダメージが増加します,攻撃は最大の防御！,0,0,20090
170,PD007100,"攻撃ダメージ増加 6ヶ月権",6ヶ月間、攻撃ダメージが増加します,攻撃は最大の防御！,0,0,20180
171,PD007100,"攻撃ダメージ増加 1年権",1年間、攻撃ダメージが増加します,攻撃は最大の防御！,0,0,20365
172,PD007200,"ディフェンスアップ 1日",1日間、受けるダメージが減少します,最後に立ってれば勝者！,0,0,20001
173,PD007200,"ディフェンスアップ 3日",3日間、受けるダメージが減少します,最後に立ってれば勝者！,0,0,20003
174,PD007200,"ディフェンスアップ 7日",7日間、受けるダメージが減少します,最後に立ってれば勝者！,0,0,20007
175,PD007200,"ディフェンスアップ 30日",30日間、受けるダメージが減少します,最後に立ってれば勝者！,0,0,20030
176,PD007200,"被害ダメージ減少 3ヶ月権",3ヶ月間、受けるダメージが減少します,最後に立っている者こそ勝者！,0,0,20090
177,PD007200,"被害ダメージ減少 6ヶ月権",6ヶ月間、受けるダメージが減少します,最後に立っている者こそ勝者！,0,0,20180
178,PD007200,"被害ダメージ減少 1年権",1年間、受けるダメージが減少します,最後に立っている者こそ勝者！,0,0,20365
179,PD007300,"ヒットアップ 1日",1日間、命中率が増加します,Missにグッバイ！,0,0,20001
180,PD007300,"ヒットアップ 3日",3日間、命中率が増加します,Missにグッバイ！,0,0,20003
181,PD007300,"ヒットアップ 7日",7日間、命中率が増加します,Missにグッバイ！,0,0,20007
182,PD007300,"ヒットアップ 30日",30日間、命中率が増加します,Missにグッバイ！,0,0,20030
183,PD007300,"命中率増加 3ヶ月権",3ヶ月間、命中率が増加します,Missにグッバイ！,0,0,20090
184,PD007300,"命中率増加 6ヶ月権",6ヶ月間、命中率が増加します,Missにグッバイ！,0,0,20180
185,PD007300,"命中率増加 1年権",1年間、命中率が増加します,Missにグッバイ！,0,0,20365
186,PD007400,"フリーアップ 1日",1日間、回避率が増加します,避ければ無傷！,0,0,20001
187,PD007400,"フリーアップ 3日",3日間、回避率が増加します,避ければ無傷！,0,0,20003
188,PD007400,"フリーアップ 7日",7日間、回避率が増加します,避ければ無傷！,0,0,20007
189,PD007400,"フリーアップ 30日",30日間、回避率が増加します,避ければ無傷！,0,0,20030
190,PD007400,"回避率増加 3ヶ月権",3ヶ月間、回避率が増加します,避ければ無傷！,0,0,20090
191,PD007400,"回避率増加 6ヶ月権",6ヶ月間、回避率が増加します,避ければ無傷！,0,0,20180
192,PD007400,"回避率増加 1年権",1年間、回避率が増加します,避ければ無傷！,0,0,20365
193,PD007500,"クリティカルアップ 1日",1日間、クリティカル率が増加します,一撃必殺！,0,0,20001
194,PD007500,"クリティカルアップ 3日",3日間、クリティカル率が増加します,一撃必殺！,0,0,20003
195,PD007500,"クリティカルアップ 7日",7日間、クリティカル率が増加します,一撃必殺！,0,0,20007
196,PD007500,"クリティカルアップ 30日",30日間、クリティカル率が増加します,一撃必殺！,0,0,20030
197,PD007500,"クリティカル増加 3ヶ月権",3ヶ月間、クリティカル率が増加します,一撃必殺！,0,0,20090
198,PD007500,"クリティカル増加 6ヶ月権",6ヶ月間、クリティカル率が増加します,一撃必殺！,0,0,20180
199,PD007500,"クリティカル増加 1年権",1年間、クリティカル率が増加します,一撃必殺！,0,0,20365
200,PD003101,1年生用強化事典,武器を+4以上に強化する時、参考書の代わりに使用すると、成功率が母数の70％アップします（母数が50％なら85％になります）,愛用の武器をもっと強く！,0,0,0
201,PD003102,2年生用強化事典,武器を+4以上に強化する時、参考書の代わりに使用すると、成功率が母数の70％アップします（母数が50％なら85％になります）,愛用の武器をもっと強く！,0,0,0
202,PD003103,3年生用強化事典,武器を+4以上に強化する時、参考書の代わりに使用すると、成功率が母数の70％アップします（母数が50％なら85％になります）,愛用の武器をもっと強く！,0,0,0
203,PD003104,4年生用強化事典,武器を+4以上に強化する時、参考書の代わりに使用すると、成功率が母数の70％アップします（母数が50％なら85％になります）,愛用の武器をもっと強く！,0,0,0
204,PD003105,5年生用強化事典,武器を+4以上に強化する時、参考書の代わりに使用すると、成功率が母数の70％アップします（母数が50％なら85％になります）,愛用の武器をもっと強く！,0,0,0
205,PD000101,メゾフォルテセット,"ロッカー利用権、プラカード、ＥＸＰアップ 7日が入ったセット",便利セット,0,0,0
206,PD000102,フォルテセット,"ロッカー利用権×2、名札、プラカード、メモリーチップ、ＥＸＰアップ 7日×2が入ったセット",もっと便利セット,0,0,0
207,PD000103,フォルテッシモセット,"ロッカー利用権×3、名札、名札台紙セット、プラカード、メモリーチップ、称号自由自在、秘密の錠前、ＥＸＰアップ 30日が入ったセット",すごく便利セット,0,0,0
208,PD000104,初心者用アダージョセット,"ロッカー利用権、名札、名札台紙セット、ＥＸＰアップ 3日、ディフェンスアップ 3日が入ったセット",入門用セット,0,0,0
209,PD000105,アレグロセット,"ダメージアップ 7日、ディフェンスアップ 7日、クリティカルアップ 7日が入ったセット",鍛錬セット,0,0,0
210,PD000106,モデラートセット,"ヒットアップ 7日、フリーアップ 7日、ＥＸＰアップ 7日が入ったセット",充実セット,0,0,0
211,PD110220,ロボット研究部制服,"エスティバー学園　男子生徒用　ロボット研究部制服セットを 30日間利用できます",30日間利用可能,1,1,20030
212,PD120220,ロボット研究部制服,"エスティバー学園　女生徒用　ロボット研究部制服セットを 30日間利用できます",30日間利用可能,2,1,20030
213,PD210290,考古学研究部制服,"宵月学院　男子生徒用　考古学研究部制服セットを 30日間利用できます",30日間利用可能,1,2,20030
214,PD220290,考古学研究部制服,"宵月学院　女生徒用　考古学研究部制服セットを 30日間利用できます",30日間利用可能,2,2,20030
215,PD110240,ティータイム部制服,"エスティバー学園　男子生徒用　ティータイム部制服セットを 30日間利用できます",30日間利用可能,1,1,20030
216,PD120240,ティータイム部制服,"エスティバー学園　女生徒用　ティータイム部制服セットを 30日間利用できます",30日間利用可能,2,1,20030
217,PD210240,飲茶部制服,"宵月学院　男子生徒用　飲茶部制服セットを 30日間利用できます",30日間利用可能,1,2,20030
218,PD220240,飲茶部制服,"宵月学院　女生徒用　飲茶部制服セットを 30日間利用できます",30日間利用可能,2,2,20030
219,PD000107,アレグリッシモセット,"ダメージアップ 30日、ディフェンスアップ 30日、クリティカルアップ 30日が入ったセット",毎日鍛錬セット,0,0,0
220,PD000108,ヴィヴァーチェセット,"ヒットアップ 30日、フリーアップ 30日、ＥＸＰアップ 30日が入ったセット",毎日充実セット,0,0,0
