//type,code,name,hint,attr,,usetype,quick,price
101540,rs_G5104,"紅玉・刀源石 2-C",ブレードを強化,11,0,5,0,2000
101541,rs_G5104,"紅玉・刀源石 2-B",ブレードを強化,11,0,5,0,2000
101542,rs_G5104,"紅玉・刀源石 2-A",ブレードを強化,11,0,5,0,2000
102100,rs_G1100,"翡翠・拳源石 1-C",グローブを強化,7,0,5,0,500
102101,rs_G1100,"翡翠・拳源石 1-B",グローブを強化,7,0,5,0,500
102102,rs_G1100,"翡翠・拳源石 1-A",グローブを強化,7,0,5,0,500
102110,rs_G1101,"翡翠・拳源石 2-C",グローブを強化,7,0,5,0,2000
102111,rs_G1101,"翡翠・拳源石 2-B",グローブを強化,7,0,5,0,2000
102112,rs_G1101,"翡翠・拳源石 2-A",グローブを強化,7,0,5,0,2000
102200,rs_G2100,"緑柱・拳源石 1-C",グローブを強化,8,0,5,0,500
102201,rs_G2100,"緑柱・拳源石 1-B",グローブを強化,8,0,5,0,500
102202,rs_G2100,"緑柱・拳源石 1-A",グローブを強化,8,0,5,0,500
102210,rs_G2101,"緑柱・拳源石 2-C",グローブを強化,8,0,5,0,2000
102211,rs_G2101,"緑柱・拳源石 2-B",グローブを強化,8,0,5,0,2000
102212,rs_G2101,"緑柱・拳源石 2-A",グローブを強化,8,0,5,0,2000
102220,rs_G2102,"緑柱・拳源石 3-C",グローブを強化,8,0,5,0,8000
102221,rs_G2102,"緑柱・拳源石 3-B",グローブを強化,8,0,5,0,8000
102222,rs_G2102,"緑柱・拳源石 3-A",グローブを強化,8,0,5,0,8000
102300,rs_G3100,"珊瑚・拳源石 1-C",グローブを強化,9,0,5,0,500
102301,rs_G3100,"珊瑚・拳源石 1-B",グローブを強化,9,0,5,0,500
102302,rs_G3100,"珊瑚・拳源石 1-A",グローブを強化,9,0,5,0,500
102310,rs_G3101,"珊瑚・拳源石 2-C",グローブを強化,9,0,5,0,2000
102311,rs_G3101,"珊瑚・拳源石 2-B",グローブを強化,9,0,5,0,2000
102312,rs_G3101,"珊瑚・拳源石 2-A",グローブを強化,9,0,5,0,2000
102320,rs_G3102,"珊瑚・拳源石 3-C",グローブを強化,9,0,5,0,8000
102321,rs_G3102,"珊瑚・拳源石 3-B",グローブを強化,9,0,5,0,8000
102322,rs_G3102,"珊瑚・拳源石 3-A",グローブを強化,9,0,5,0,8000
102400,rs_G4100,"黄玉・拳源石 1-C",グローブを強化,10,0,5,0,500
102401,rs_G4100,"黄玉・拳源石 1-B",グローブを強化,10,0,5,0,500
102402,rs_G4100,"黄玉・拳源石 1-A",グローブを強化,10,0,5,0,500
102410,rs_G4101,"黄玉・拳源石 2-C",グローブを強化,10,0,5,0,2000
102411,rs_G4101,"黄玉・拳源石 2-B",グローブを強化,10,0,5,0,2000
102412,rs_G4101,"黄玉・拳源石 2-A",グローブを強化,10,0,5,0,2000
102420,rs_G4102,"黄玉・拳源石 3-C",グローブを強化,10,0,5,0,8000
102421,rs_G4102,"黄玉・拳源石 3-B",グローブを強化,10,0,5,0,8000
102422,rs_G4102,"黄玉・拳源石 3-A",グローブを強化,10,0,5,0,8000
102430,rs_G4103,"黄玉・拳源石 4-C",グローブを強化,10,0,5,0,32000
102431,rs_G4103,"黄玉・拳源石 4-B",グローブを強化,10,0,5,0,32000
102432,rs_G4103,"黄玉・拳源石 4-A",グローブを強化,10,0,5,0,32000
102500,rs_G5100,"紫玉・拳源石 1-C",グローブを強化,11,0,5,0,500
102501,rs_G5100,"紫玉・拳源石 1-B",グローブを強化,11,0,5,0,500
102502,rs_G5100,"紫玉・拳源石 1-A",グローブを強化,11,0,5,0,500
102510,rs_G5101,"紫玉・拳源石 2-C",グローブを強化,11,0,5,0,2000
102511,rs_G5101,"紫玉・拳源石 2-B",グローブを強化,11,0,5,0,2000
102512,rs_G5101,"紫玉・拳源石 2-A",グローブを強化,11,0,5,0,2000
102520,rs_G5102,"紫玉・拳源石 3-C",グローブを強化,11,0,5,0,8000
102521,rs_G5102,"紫玉・拳源石 3-B",グローブを強化,11,0,5,0,8000
102522,rs_G5102,"紫玉・拳源石 3-A",グローブを強化,11,0,5,0,8000
102530,rs_G5103,"紅玉・拳源石 1-C",グローブを強化,11,0,5,0,500
102531,rs_G5103,"紅玉・拳源石 1-B",グローブを強化,11,0,5,0,500
102532,rs_G5103,"紅玉・拳源石 1-A",グローブを強化,11,0,5,0,500
102540,rs_G5104,"紅玉・拳源石 2-C",グローブを強化,11,0,5,0,2000
102541,rs_G5104,"紅玉・拳源石 2-B",グローブを強化,11,0,5,0,2000
102542,rs_G5104,"紅玉・拳源石 2-A",グローブを強化,11,0,5,0,2000
103100,rs_G1100,"翡翠・音源石 1-C",ミューラを強化,7,0,5,0,500
103101,rs_G1100,"翡翠・音源石 1-B",ミューラを強化,7,0,5,0,500
103102,rs_G1100,"翡翠・音源石 1-A",ミューラを強化,7,0,5,0,500
103110,rs_G1101,"翡翠・音源石 2-C",ミューラを強化,7,0,5,0,2000
103111,rs_G1101,"翡翠・音源石 2-B",ミューラを強化,7,0,5,0,2000
103112,rs_G1101,"翡翠・音源石 2-A",ミューラを強化,7,0,5,0,2000
103200,rs_G2100,"緑柱・音源石 1-C",ミューラを強化,8,0,5,0,500
103201,rs_G2100,"緑柱・音源石 1-B",ミューラを強化,8,0,5,0,500
103202,rs_G2100,"緑柱・音源石 1-A",ミューラを強化,8,0,5,0,500
103210,rs_G2101,"緑柱・音源石 2-C",ミューラを強化,8,0,5,0,2000
103211,rs_G2101,"緑柱・音源石 2-B",ミューラを強化,8,0,5,0,2000
103212,rs_G2101,"緑柱・音源石 2-A",ミューラを強化,8,0,5,0,2000
103220,rs_G2102,"緑柱・音源石 3-C",ミューラを強化,8,0,5,0,8000
103221,rs_G2102,"緑柱・音源石 3-B",ミューラを強化,8,0,5,0,8000
103222,rs_G2102,"緑柱・音源石 3-A",ミューラを強化,8,0,5,0,8000
103300,rs_G3100,"珊瑚・音源石 1-C",ミューラを強化,9,0,5,0,500
103301,rs_G3100,"珊瑚・音源石 1-B",ミューラを強化,9,0,5,0,500
103302,rs_G3100,"珊瑚・音源石 1-A",ミューラを強化,9,0,5,0,500
103310,rs_G3101,"珊瑚・音源石 2-C",ミューラを強化,9,0,5,0,2000
103311,rs_G3101,"珊瑚・音源石 2-B",ミューラを強化,9,0,5,0,2000
103312,rs_G3101,"珊瑚・音源石 2-A",ミューラを強化,9,0,5,0,2000
103320,rs_G3102,"珊瑚・音源石 3-C",ミューラを強化,9,0,5,0,8000
103321,rs_G3102,"珊瑚・音源石 3-B",ミューラを強化,9,0,5,0,8000
103322,rs_G3102,"珊瑚・音源石 3-A",ミューラを強化,9,0,5,0,8000
103400,rs_G4100,"黄玉・音源石 1-C",ミューラを強化,10,0,5,0,500
103401,rs_G4100,"黄玉・音源石 1-B",ミューラを強化,10,0,5,0,500
103402,rs_G4100,"黄玉・音源石 1-A",ミューラを強化,10,0,5,0,500
103410,rs_G4101,"黄玉・音源石 2-C",ミューラを強化,10,0,5,0,2000
103411,rs_G4101,"黄玉・音源石 2-B",ミューラを強化,10,0,5,0,2000
103412,rs_G4101,"黄玉・音源石 2-A",ミューラを強化,10,0,5,0,2000
103420,rs_G4102,"黄玉・音源石 3-C",ミューラを強化,10,0,5,0,8000
103421,rs_G4102,"黄玉・音源石 3-B",ミューラを強化,10,0,5,0,8000
103422,rs_G4102,"黄玉・音源石 3-A",ミューラを強化,10,0,5,0,8000
103430,rs_G4103,"黄玉・音源石 4-C",ミューラを強化,10,0,5,0,32000
103431,rs_G4103,"黄玉・音源石 4-B",ミューラを強化,10,0,5,0,32000
103432,rs_G4103,"黄玉・音源石 4-A",ミューラを強化,10,0,5,0,32000
103500,rs_G5100,"紫玉・音源石 1-C",ミューラを強化,11,0,5,0,500
103501,rs_G5100,"紫玉・音源石 1-B",ミューラを強化,11,0,5,0,500
103502,rs_G5100,"紫玉・音源石 1-A",ミューラを強化,11,0,5,0,500
103510,rs_G5101,"紫玉・音源石 2-C",ミューラを強化,11,0,5,0,2000
103511,rs_G5101,"紫玉・音源石 2-B",ミューラを強化,11,0,5,0,2000
103512,rs_G5101,"紫玉・音源石 2-A",ミューラを強化,11,0,5,0,2000
103520,rs_G5102,"紫玉・音源石 3-C",ミューラを強化,11,0,5,0,8000
103521,rs_G5102,"紫玉・音源石 3-B",ミューラを強化,11,0,5,0,8000
103522,rs_G5102,"紫玉・音源石 3-A",ミューラを強化,11,0,5,0,8000
103530,rs_G5103,"紅玉・音源石 1-C",ミューラを強化,11,0,5,0,500
103531,rs_G5103,"紅玉・音源石 1-B",ミューラを強化,11,0,5,0,500
103532,rs_G5103,"紅玉・音源石 1-A",ミューラを強化,11,0,5,0,500
103540,rs_G5104,"紅玉・音源石 2-C",ミューラを強化,11,0,5,0,2000
103541,rs_G5104,"紅玉・音源石 2-B",ミューラを強化,11,0,5,0,2000
103542,rs_G5104,"紅玉・音源石 2-A",ミューラを強化,11,0,5,0,2000
104100,rs_G1100,"翡翠・精源石 1-C",スピリットを強化,7,0,5,0,500
104101,rs_G1100,"翡翠・精源石 1-B",スピリットを強化,7,0,5,0,500
104102,rs_G1100,"翡翠・精源石 1-A",スピリットを強化,7,0,5,0,500
104110,rs_G1101,"翡翠・精源石 2-C",スピリットを強化,7,0,5,0,2000
104111,rs_G1101,"翡翠・精源石 2-B",スピリットを強化,7,0,5,0,2000
104112,rs_G1101,"翡翠・精源石 2-A",スピリットを強化,7,0,5,0,2000
104200,rs_G2100,"緑柱・精源石 1-C",スピリットを強化,8,0,5,0,500
104201,rs_G2100,"緑柱・精源石 1-B",スピリットを強化,8,0,5,0,500
104202,rs_G2100,"緑柱・精源石 1-A",スピリットを強化,8,0,5,0,500
104210,rs_G2101,"緑柱・精源石 2-C",スピリットを強化,8,0,5,0,2000
104211,rs_G2101,"緑柱・精源石 2-B",スピリットを強化,8,0,5,0,2000
104212,rs_G2101,"緑柱・精源石 2-A",スピリットを強化,8,0,5,0,2000
104220,rs_G2102,"緑柱・精源石 3-C",スピリットを強化,8,0,5,0,8000
104221,rs_G2102,"緑柱・精源石 3-B",スピリットを強化,8,0,5,0,8000
104222,rs_G2102,"緑柱・精源石 3-A",スピリットを強化,8,0,5,0,8000
104300,rs_G3100,"珊瑚・精源石 1-C",スピリットを強化,9,0,5,0,500
104301,rs_G3100,"珊瑚・精源石 1-B",スピリットを強化,9,0,5,0,500
104302,rs_G3100,"珊瑚・精源石 1-A",スピリットを強化,9,0,5,0,500
104310,rs_G3101,"珊瑚・精源石 2-C",スピリットを強化,9,0,5,0,2000
104311,rs_G3101,"珊瑚・精源石 2-B",スピリットを強化,9,0,5,0,2000
104312,rs_G3101,"珊瑚・精源石 2-A",スピリットを強化,9,0,5,0,2000
104320,rs_G3102,"珊瑚・精源石 3-C",スピリットを強化,9,0,5,0,8000
104321,rs_G3102,"珊瑚・精源石 3-B",スピリットを強化,9,0,5,0,8000
104322,rs_G3102,"珊瑚・精源石 3-A",スピリットを強化,9,0,5,0,8000
104400,rs_G4100,"黄玉・精源石 1-C",スピリットを強化,10,0,5,0,500
104401,rs_G4100,"黄玉・精源石 1-B",スピリットを強化,10,0,5,0,500
104402,rs_G4100,"黄玉・精源石 1-A",スピリットを強化,10,0,5,0,500
104410,rs_G4101,"黄玉・精源石 2-C",スピリットを強化,10,0,5,0,2000
104411,rs_G4101,"黄玉・精源石 2-B",スピリットを強化,10,0,5,0,2000
104412,rs_G4101,"黄玉・精源石 2-A",スピリットを強化,10,0,5,0,2000
104420,rs_G4102,"黄玉・精源石 3-C",スピリットを強化,10,0,5,0,8000
104421,rs_G4102,"黄玉・精源石 3-B",スピリットを強化,10,0,5,0,8000
104422,rs_G4102,"黄玉・精源石 3-A",スピリットを強化,10,0,5,0,8000
104430,rs_G4103,"黄玉・精源石 4-C",スピリットを強化,10,0,5,0,32000
104431,rs_G4103,"黄玉・精源石 4-B",スピリットを強化,10,0,5,0,32000
104432,rs_G4103,"黄玉・精源石 4-A",スピリットを強化,10,0,5,0,32000
104500,rs_G5100,"紫玉・精源石 1-C",スピリットを強化,11,0,5,0,500
104501,rs_G5100,"紫玉・精源石 1-B",スピリットを強化,11,0,5,0,500
104502,rs_G5100,"紫玉・精源石 1-A",スピリットを強化,11,0,5,0,500
104510,rs_G5101,"紫玉・精源石 2-C",スピリットを強化,11,0,5,0,2000
104511,rs_G5101,"紫玉・精源石 2-B",スピリットを強化,11,0,5,0,2000
104512,rs_G5101,"紫玉・精源石 2-A",スピリットを強化,11,0,5,0,2000
104520,rs_G5102,"紫玉・精源石 3-C",スピリットを強化,11,0,5,0,8000
104521,rs_G5102,"紫玉・精源石 3-B",スピリットを強化,11,0,5,0,8000
104522,rs_G5102,"紫玉・精源石 3-A",スピリットを強化,11,0,5,0,8000
104530,rs_G5103,"紅玉・精源石 1-C",スピリットを強化,11,0,5,0,500
104531,rs_G5103,"紅玉・精源石 1-B",スピリットを強化,11,0,5,0,500
104532,rs_G5103,"紅玉・精源石 1-A",スピリットを強化,11,0,5,0,500
104540,rs_G5104,"紅玉・精源石 2-C",スピリットを強化,11,0,5,0,2000
104541,rs_G5104,"紅玉・精源石 2-B",スピリットを強化,11,0,5,0,2000
104542,rs_G5104,"紅玉・精源石 2-A",スピリットを強化,11,0,5,0,2000
105100,rs_G1100,"翡翠・胸衣源石 1-C",上半身用の制服を強化,7,0,5,0,500
105101,rs_G1100,"翡翠・胸衣源石 1-B",上半身用の制服を強化,7,0,5,0,500
105102,rs_G1100,"翡翠・胸衣源石 1-A",上半身用の制服を強化,7,0,5,0,500
105110,rs_G1101,"翡翠・胸衣源石 2-C",上半身用の制服を強化,7,0,5,0,2000
105111,rs_G1101,"翡翠・胸衣源石 2-B",上半身用の制服を強化,7,0,5,0,2000
105112,rs_G1101,"翡翠・胸衣源石 2-A",上半身用の制服を強化,7,0,5,0,2000
105200,rs_G2100,"緑柱・胸衣源石 1-C",上半身用の制服を強化,8,0,5,0,500
105201,rs_G2100,"緑柱・胸衣源石 1-B",上半身用の制服を強化,8,0,5,0,500
105202,rs_G2100,"緑柱・胸衣源石 1-A",上半身用の制服を強化,8,0,5,0,500
105210,rs_G2101,"緑柱・胸衣源石 2-C",上半身用の制服を強化,8,0,5,0,2000
105211,rs_G2101,"緑柱・胸衣源石 2-B",上半身用の制服を強化,8,0,5,0,2000
105212,rs_G2101,"緑柱・胸衣源石 2-A",上半身用の制服を強化,8,0,5,0,2000
105220,rs_G2102,"緑柱・胸衣源石 3-C",上半身用の制服を強化,8,0,5,0,8000
105221,rs_G2102,"緑柱・胸衣源石 3-B",上半身用の制服を強化,8,0,5,0,8000
105222,rs_G2102,"緑柱・胸衣源石 3-A",上半身用の制服を強化,8,0,5,0,8000
105300,rs_G3100,"珊瑚・胸衣源石 1-C",上半身用の制服を強化,9,0,5,0,500
105301,rs_G3100,"珊瑚・胸衣源石 1-B",上半身用の制服を強化,9,0,5,0,500
105302,rs_G3100,"珊瑚・胸衣源石 1-A",上半身用の制服を強化,9,0,5,0,500
105310,rs_G3101,"珊瑚・胸衣源石 2-C",上半身用の制服を強化,9,0,5,0,2000
105311,rs_G3101,"珊瑚・胸衣源石 2-B",上半身用の制服を強化,9,0,5,0,2000
105312,rs_G3101,"珊瑚・胸衣源石 2-A",上半身用の制服を強化,9,0,5,0,2000
105320,rs_G3102,"珊瑚・胸衣源石 3-C",上半身用の制服を強化,9,0,5,0,8000
105321,rs_G3102,"珊瑚・胸衣源石 3-B",上半身用の制服を強化,9,0,5,0,8000
105322,rs_G3102,"珊瑚・胸衣源石 3-A",上半身用の制服を強化,9,0,5,0,8000
105400,rs_G4100,"黄玉・胸衣源石 1-C",上半身用の制服を強化,10,0,5,0,500
105401,rs_G4100,"黄玉・胸衣源石 1-B",上半身用の制服を強化,10,0,5,0,500
105402,rs_G4100,"黄玉・胸衣源石 1-A",上半身用の制服を強化,10,0,5,0,500
105410,rs_G4101,"黄玉・胸衣源石 2-C",上半身用の制服を強化,10,0,5,0,2000
105411,rs_G4101,"黄玉・胸衣源石 2-B",上半身用の制服を強化,10,0,5,0,2000
105412,rs_G4101,"黄玉・胸衣源石 2-A",上半身用の制服を強化,10,0,5,0,2000
105420,rs_G4102,"黄玉・胸衣源石 3-C",上半身用の制服を強化,10,0,5,0,8000
105421,rs_G4102,"黄玉・胸衣源石 3-B",上半身用の制服を強化,10,0,5,0,8000
105422,rs_G4102,"黄玉・胸衣源石 3-A",上半身用の制服を強化,10,0,5,0,8000
105430,rs_G4103,"黄玉・胸衣源石 4-C",上半身用の制服を強化,10,0,5,0,32000
105431,rs_G4103,"黄玉・胸衣源石 4-B",上半身用の制服を強化,10,0,5,0,32000
105432,rs_G4103,"黄玉・胸衣源石 4-A",上半身用の制服を強化,10,0,5,0,32000
105500,rs_G5100,"紫玉・胸衣源石 1-C",上半身用の制服を強化,11,0,5,0,500
105501,rs_G5100,"紫玉・胸衣源石 1-B",上半身用の制服を強化,11,0,5,0,500
105502,rs_G5100,"紫玉・胸衣源石 1-A",上半身用の制服を強化,11,0,5,0,500
105510,rs_G5101,"紫玉・胸衣源石 2-C",上半身用の制服を強化,11,0,5,0,2000
105511,rs_G5101,"紫玉・胸衣源石 2-B",上半身用の制服を強化,11,0,5,0,2000
105512,rs_G5101,"紫玉・胸衣源石 2-A",上半身用の制服を強化,11,0,5,0,2000
105520,rs_G5102,"紫玉・胸衣源石 3-C",上半身用の制服を強化,11,0,5,0,8000
105521,rs_G5102,"紫玉・胸衣源石 3-B",上半身用の制服を強化,11,0,5,0,8000
105522,rs_G5102,"紫玉・胸衣源石 3-A",上半身用の制服を強化,11,0,5,0,8000
105530,rs_G5103,"紅玉・胸衣源石 1-C",上半身用の制服を強化,11,0,5,0,500
105531,rs_G5103,"紅玉・胸衣源石 1-B",上半身用の制服を強化,11,0,5,0,500
105532,rs_G5103,"紅玉・胸衣源石 1-A",上半身用の制服を強化,11,0,5,0,500
105540,rs_G5104,"紅玉・胸衣源石 2-C",上半身用の制服を強化,11,0,5,0,2000
105541,rs_G5104,"紅玉・胸衣源石 2-B",上半身用の制服を強化,11,0,5,0,2000
105542,rs_G5104,"紅玉・胸衣源石 2-A",上半身用の制服を強化,11,0,5,0,2000
106100,rs_G1100,"翡翠・腰衣源石 1-C",下半身用の制服を強化,7,0,5,0,500
106101,rs_G1100,"翡翠・腰衣源石 1-B",下半身用の制服を強化,7,0,5,0,500
106102,rs_G1100,"翡翠・腰衣源石 1-A",下半身用の制服を強化,7,0,5,0,500
106110,rs_G1101,"翡翠・腰衣源石 2-C",下半身用の制服を強化,7,0,5,0,2000
106111,rs_G1101,"翡翠・腰衣源石 2-B",下半身用の制服を強化,7,0,5,0,2000
106112,rs_G1101,"翡翠・腰衣源石 2-A",下半身用の制服を強化,7,0,5,0,2000
106200,rs_G2100,"緑柱・腰衣源石 1-C",下半身用の制服を強化,8,0,5,0,500
106201,rs_G2100,"緑柱・腰衣源石 1-B",下半身用の制服を強化,8,0,5,0,500
106202,rs_G2100,"緑柱・腰衣源石 1-A",下半身用の制服を強化,8,0,5,0,500
106210,rs_G2101,"緑柱・腰衣源石 2-C",下半身用の制服を強化,8,0,5,0,2000
106211,rs_G2101,"緑柱・腰衣源石 2-B",下半身用の制服を強化,8,0,5,0,2000
106212,rs_G2101,"緑柱・腰衣源石 2-A",下半身用の制服を強化,8,0,5,0,2000
106220,rs_G2102,"緑柱・腰衣源石 3-C",下半身用の制服を強化,8,0,5,0,8000
106221,rs_G2102,"緑柱・腰衣源石 3-B",下半身用の制服を強化,8,0,5,0,8000
106222,rs_G2102,"緑柱・腰衣源石 3-A",下半身用の制服を強化,8,0,5,0,8000
106300,rs_G3100,"珊瑚・腰衣源石 1-C",下半身用の制服を強化,9,0,5,0,500
106301,rs_G3100,"珊瑚・腰衣源石 1-B",下半身用の制服を強化,9,0,5,0,500
106302,rs_G3100,"珊瑚・腰衣源石 1-A",下半身用の制服を強化,9,0,5,0,500
106310,rs_G3101,"珊瑚・腰衣源石 2-C",下半身用の制服を強化,9,0,5,0,2000
106311,rs_G3101,"珊瑚・腰衣源石 2-B",下半身用の制服を強化,9,0,5,0,2000
106312,rs_G3101,"珊瑚・腰衣源石 2-A",下半身用の制服を強化,9,0,5,0,2000
106320,rs_G3102,"珊瑚・腰衣源石 3-C",下半身用の制服を強化,9,0,5,0,8000
106321,rs_G3102,"珊瑚・腰衣源石 3-B",下半身用の制服を強化,9,0,5,0,8000
106322,rs_G3102,"珊瑚・腰衣源石 3-A",下半身用の制服を強化,9,0,5,0,8000
106400,rs_G4100,"黄玉・腰衣源石 1-C",下半身用の制服を強化,10,0,5,0,500
106401,rs_G4100,"黄玉・腰衣源石 1-B",下半身用の制服を強化,10,0,5,0,500
106402,rs_G4100,"黄玉・腰衣源石 1-A",下半身用の制服を強化,10,0,5,0,500
106410,rs_G4101,"黄玉・腰衣源石 2-C",下半身用の制服を強化,10,0,5,0,2000
106411,rs_G4101,"黄玉・腰衣源石 2-B",下半身用の制服を強化,10,0,5,0,2000
106412,rs_G4101,"黄玉・腰衣源石 2-A",下半身用の制服を強化,10,0,5,0,2000
106420,rs_G4102,"黄玉・腰衣源石 3-C",下半身用の制服を強化,10,0,5,0,8000
106421,rs_G4102,"黄玉・腰衣源石 3-B",下半身用の制服を強化,10,0,5,0,8000
106422,rs_G4102,"黄玉・腰衣源石 3-A",下半身用の制服を強化,10,0,5,0,8000
106430,rs_G4103,"黄玉・腰衣源石 4-C",下半身用の制服を強化,10,0,5,0,32000
106431,rs_G4103,"黄玉・腰衣源石 4-B",下半身用の制服を強化,10,0,5,0,32000
106432,rs_G4103,"黄玉・腰衣源石 4-A",下半身用の制服を強化,10,0,5,0,32000
106500,rs_G5100,"紫玉・腰衣源石 1-C",下半身用の制服を強化,11,0,5,0,500
106501,rs_G5100,"紫玉・腰衣源石 1-B",下半身用の制服を強化,11,0,5,0,500
106502,rs_G5100,"紫玉・腰衣源石 1-A",下半身用の制服を強化,11,0,5,0,500
106510,rs_G5101,"紫玉・腰衣源石 2-C",下半身用の制服を強化,11,0,5,0,2000
106511,rs_G5101,"紫玉・腰衣源石 2-B",下半身用の制服を強化,11,0,5,0,2000
106512,rs_G5101,"紫玉・腰衣源石 2-A",下半身用の制服を強化,11,0,5,0,2000
106520,rs_G5102,"紫玉・腰衣源石 3-C",下半身用の制服を強化,11,0,5,0,8000
106521,rs_G5102,"紫玉・腰衣源石 3-B",下半身用の制服を強化,11,0,5,0,8000
106522,rs_G5102,"紫玉・腰衣源石 3-A",下半身用の制服を強化,11,0,5,0,8000
106530,rs_G5103,"紅玉・腰衣源石 1-C",下半身用の制服を強化,11,0,5,0,500
106531,rs_G5103,"紅玉・腰衣源石 1-B",下半身用の制服を強化,11,0,5,0,500
106532,rs_G5103,"紅玉・腰衣源石 1-A",下半身用の制服を強化,11,0,5,0,500
106540,rs_G5104,"紅玉・腰衣源石 2-C",下半身用の制服を強化,11,0,5,0,2000
106541,rs_G5104,"紅玉・腰衣源石 2-B",下半身用の制服を強化,11,0,5,0,2000
106542,rs_G5104,"紅玉・腰衣源石 2-A",下半身用の制服を強化,11,0,5,0,2000
107100,rs_G1100,"翡翠・走源石 1-C",靴を強化,7,0,5,0,500
107101,rs_G1100,"翡翠・走源石 1-B",靴を強化,7,0,5,0,500
107102,rs_G1100,"翡翠・走源石 1-A",靴を強化,7,0,5,0,500
107110,rs_G1101,"翡翠・走源石 2-C",靴を強化,7,0,5,0,2000
