//idHuntField,typeMonster,hpMax,level,typeBasis,name,,,motion,drop,count,rate,exp
23,68,106,26,76,"[26] ホギーパペット",0,-17,300761,30116,1,100,16
23,69,706,27,91,"[27] プリズナー",0,-1,300911,30127,1,100,17
24,110,810,31,47,"[31] リトルクロコ",0,-1,300471,30039,5,100,22
24,111,836,32,27,"[32] グロービー",0,-1,300271,30019,5,100,24
25,112,862,33,47,"[33] リトルクロコ",0,-1,300471,30039,5,100,26
25,113,889,34,27,"[34] グロービー",0,-1,300271,30019,5,100,29
25,114,914,35,33,"[35] クロコ",0,-1,300331,30039,5,100,31
26,115,941,36,27,"[36] グロービー",0,-1,300271,30019,5,100,34
26,116,967,37,33,"[37] クロコ",0,-1,300331,30039,5,100,37
27,117,993,38,27,"[38] グロービー",0,-1,300271,30019,5,100,39
27,118,1019,39,33,"[39] クロコ",0,-1,300331,30039,5,100,42
27,119,1046,40,31,"[40] スパービー",0,-1,300311,30042,3,100,45
28,120,1071,41,33,"[41] クロコ",0,-1,300331,30039,5,100,48
28,121,1098,42,31,"[42] スパービー",0,-1,300311,30042,3,100,51
29,122,1124,43,33,"[43] クロコ",0,-1,300331,30036,2,100,54
29,123,1150,44,31,"[44] スパービー",0,-1,300311,30042,3,100,58
29,124,1008,45,29,"[45] ミュロビー",0,-1,300291,30035,5,100,61
30,125,1202,46,31,"[46] スパービー",0,-1,300311,30042,3,100,64
30,126,1053,47,29,"[47] ミュロビー",0,-1,300291,30036,2,100,68
31,127,1254,48,31,"[48] スパービー",0,-1,300311,30042,5,100,72
31,128,1120,50,29,"[50] ミュロビー",0,-1,300291,30157,5,100,79
31,129,1359,52,120,"[52] 怒ったミュロビー",0,-1,301201,30125,5,100,87
32,130,1210,54,29,"[54] ミュロビー",0,-1,300291,30191,2,100,95
32,131,1463,56,120,"[56] 怒ったミュロビー",0,-1,301201,30191,2,100,104
33,132,1299,58,29,"[58] ミュロビー",0,-1,300291,30020,5,100,113
33,133,1568,60,120,"[60] 怒ったミュロビー",0,-1,301201,30015,5,100,122
33,134,1620,62,125,"[62] 影入道",0,-1,301051,30200,5,100,139
34,135,1673,64,120,"[64] 怒ったミュロビー",0,-1,301201,30174,3,100,157
34,136,1725,66,125,"[66] 影入道",0,-1,301051,30200,5,100,176
35,137,1777,68,120,"[68] 怒ったミュロビー",0,-1,301201,30127,4,100,196
35,138,1830,70,125,"[70] 影入道",0,-1,301051,30200,5,100,217
35,139,1882,72,112,"[72] シャドウビースト",0,-1,301121,30201,5,100,238
36,140,1935,74,125,"[74] 影入道",0,-1,301051,30176,5,100,260
36,141,1987,76,112,"[76] シャドウビースト",0,-1,301121,30201,5,100,283
37,142,2038,78,125,"[78] 影入道",0,-1,301051,30200,6,100,307
37,143,2090,80,112,"[80] シャドウビースト",0,-1,301121,30201,5,100,332
37,144,2143,82,95,"[82] パトロボ",0,-1,300951,30011,5,100,357
38,145,2195,84,112,"[84] シャドウビースト",0,-1,301121,30201,5,100,384
38,146,2247,86,95,"[86] パトロボ",0,-1,300951,30136,3,100,411
39,147,2300,88,95,"[88] パトロボ",0,-1,300951,30031,6,100,439
39,148,3737,91,136,"[91] ボボカンデラックス",0,-1,301361,30031,5,100,540
40,149,2457,94,108,"[94] ソソプラネット",0,-1,301081,30157,5,100,562
40,150,2535,97,116,"[97] クィラ",0,-1,301161,30127,5,100,637
40,151,2614,100,111,"[100] 次元魚",0,-1,301111,30157,5,100,715
41,164,2692,103,116,"[103] クィラ",0,-1,301161,30068,5,100,797
41,165,2770,106,111,"[106] 次元魚",0,-1,301111,30157,5,100,882
41,152,2849,109,113,"[109] お掃除ハカセ",0,-1,301131,30192,5,100,970
42,166,2927,112,111,"[112] 次元魚",0,-1,301111,30157,5,100,1062
42,167,3006,115,113,"[115] お掃除ハカセ",0,-1,301131,30211,5,100,1157
42,168,3084,118,109,"[118] ツクエミミック",0,-1,301091,30117,5,100,1256
43,169,3159,121,113,"[121] お掃除ハカセ",0,-1,301131,30031,5,100,1358
43,170,3227,124,109,"[124] ツクエミミック",0,-1,301091,30117,5,100,1463
43,171,3296,127,110,"[127] イスファイター",0,-1,301101,30172,5,100,1572
44,172,3364,130,110,"[130] イスファイター",0,-1,301101,30172,5,100,1684
44,173,3433,133,114,"[133] キャタツラー",0,-1,301141,30089,5,100,1841
44,174,3502,136,117,"[136] 4次元ウッドヘリアン",0,-1,301171,0,0,0,2004
45,175,3060,139,46,"[139] ハッコウモリ",0,-1,300461,30039,5,100,2172
45,176,3639,142,96,"[142] ソソマミー",0,-1,300961,30002,5,100,2346
45,177,3731,146,82,"[146] フクのカメ",0,-1,300821,30127,5,100,2585
46,178,3822,150,96,"[150] ソソマミー",0,-1,300961,30045,5,100,2834
46,179,6294,158,153,"[158] レッドレフィック",0,-1,301531,30127,5,100,3394
46,180,3354,154,81,"[154] デンプ",0,-1,300811,30084,5,100,3091
47,181,6725,170,153,"[170] レッドレフィック",0,-1,301531,30127,5,100,4338
47,182,3589,166,81,"[166] デンプ",0,-1,300811,30088,5,100,3921
47,183,4096,162,92,"[162] ざるかぶり",0,-1,300921,30078,5,100,3635
48,184,7156,182,154,"[182] カタコンベガーディアン",0,-1,301541,30084,5,100,5494
48,185,4371,174,92,"[174] ざるかぶり",0,-1,300921,30046,5,100,4613
48,186,3825,178,80,"[178] 下郎蛙",0,-1,300801,30078,5,100,5025
49,187,7587,194,154,"[194] カタコンベガーディアン",0,-1,301541,30068,5,100,6886
49,188,3982,186,80,"[186] 下郎蛙",0,-1,300801,30079,5,100,5888
49,189,4736,190,105,"[190] 火之輪入道",0,-1,301051,30078,5,100,6340
51,239,5359,205,166,"[205] レクシー",0,-1,301661,0,0,0,8027
52,240,5438,208,166,"[208] レクシー",0,-1,301661,0,0,0,8347
50,241,4899,195,92,"[195] ざるかぶり",0,-1,300921,0,0,0,6984
50,242,5148,197,94,"[197] トホホ",0,-1,300941,0,0,0,7191
50,243,4260,199,80,"[199] 下郎蛙",0,-1,300801,0,0,0,7397
51,244,4346,201,81,"[201] デンプ",0,-1,300811,0,0,0,7605
51,245,5305,203,120,"[203] 怒ったミュロビー",0,-1,301201,0,0,0,7815
52,246,5397,206,86,"[206] カマイタチ",0,-1,300861,0,0,0,8133
52,19,26,1,32,"[1] キングスパービー",0,-1,300321,0,0,0,1
1,190,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
2,191,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
3,192,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
4,193,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
5,194,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
6,195,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
7,196,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
8,197,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
9,198,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
10,199,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
11,200,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
12,201,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
13,202,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
14,203,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
15,204,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
16,205,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
17,206,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
18,207,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
19,208,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
20,209,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
21,210,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
22,211,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
23,212,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
24,213,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
25,214,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
26,215,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
27,216,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
28,217,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
29,218,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
30,219,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
31,220,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
32,221,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
33,222,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
34,223,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
35,224,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
36,225,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
37,226,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
38,227,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
39,228,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
40,229,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
41,230,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
42,231,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
43,232,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
44,233,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
45,234,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
46,235,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
47,236,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
48,237,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
49,238,18,1,152,"[1] トレジャーモンスター",4,-1,301511,0,0,0,1
